temperature,prompt1,prompt2,similarity
0.5,step_by_step,step_by_step,0.8003326561538462
1.0,brief,brief,0.6895435946241025
1.0,brief,detailed,0.6492320402046153
1.0,brief,expert,0.6964848795661538
1.0,brief,noisy,0.693897470876923
1.0,brief,original,0.6929568241884615
1.0,brief,step_by_step,0.6581543042128205
1.0,detailed,brief,0.6016753681410256
1.0,detailed,detailed,0.7786859578205128
1.0,detailed,expert,0.7830357639102564
1.0,detailed,noisy,0.7883463560615385
1.0,detailed,original,0.7647693092179487
1.0,detailed,step_by_step,0.773811157525641
1.0,expert,brief,0.6060392313166667
1.0,expert,detailed,0.7638049336461538
1.0,expert,expert,0.7789807686538461
1.0,expert,noisy,0.7895772803846154
1.0,expert,original,0.7623989823974359
1.0,expert,step_by_step,0.7457190463589743
1.0,noisy,brief,0.6373385262435897
1.0,noisy,detailed,0.7391191735897435
1.0,noisy,expert,0.7835423697435897
1.0,noisy,noisy,0.7873554307692308
1.0,noisy,original,0.7885914238461539
1.0,noisy,step_by_step,0.7317108176410256
1.0,original,brief,0.6728244205615385
1.0,original,detailed,0.7425401029230769
1.0,original,expert,0.7921558183076923
1.0,original,noisy,0.8022467322307693
1.0,original,original,0.7793068291025641
1.0,original,step_by_step,0.7413788067692307
1.0,step_by_step,brief,0.6107584835923077
1.0,step_by_step,detailed,0.7844996589730769
1.0,step_by_step,expert,0.7713298077307692
1.0,step_by_step,noisy,0.7798019259
1.0,step_by_step,original,0.7559159938461538
1.0,step_by_step,step_by_step,0.7888359768974359
1.5,brief,brief,0.5037460125769231
1.5,brief,detailed,0.5318484755697674
1.5,brief,expert,0.551428608744186
1.5,brief,noisy,0.5247266697023255
1.5,brief,original,0.47389383580512817
1.5,brief,step_by_step,0.49875589923846153
1.5,detailed,brief,0.4691045437594936
1.5,detailed,detailed,0.5932571420897437
1.5,detailed,expert,0.6001884693205128
1.5,detailed,noisy,0.6087066650923078
1.5,detailed,original,0.5398453840948718
1.5,detailed,step_by_step,0.5360342897307693
1.5,expert,brief,0.45836132325924045
1.5,expert,detailed,0.6260257259538462
1.5,expert,expert,0.5936274449102564
1.5,expert,noisy,0.607980403113846
1.5,expert,original,0.5307316376038462
1.5,expert,step_by_step,0.5340199927794872
1.5,noisy,brief,0.47573315472151895
1.5,noisy,detailed,0.5676165850128205
1.5,noisy,expert,0.5952142007948718
1.5,noisy,noisy,0.5670653889230769
1.5,noisy,original,0.5406646587153846
1.5,noisy,step_by_step,0.5040454495358975
1.5,original,brief,0.48155157064615384
1.5,original,detailed,0.5912306716692308
1.5,original,expert,0.5957796280661538
1.5,original,noisy,0.5872796718992307
1.5,original,original,0.5170252464128204
1.5,original,step_by_step,0.5448020612869231
1.5,step_by_step,brief,0.47044088285
1.5,step_by_step,detailed,0.61159897544
1.5,step_by_step,expert,0.5837590594307692
1.5,step_by_step,noisy,0.5821624777461538
1.5,step_by_step,original,0.5159977251333334
1.5,step_by_step,step_by_step,0.5362841338846154
2.0,brief,brief,0.26509420255897437
2.0,brief,detailed,0.3427563679153846
2.0,brief,expert,0.38227969264846157
2.0,brief,noisy,0.3720359501284616
2.0,brief,original,0.27091580329102566
2.0,brief,step_by_step,0.27074467566269234
2.0,detailed,brief,0.24228489189615382
2.0,detailed,detailed,0.24355702528461537
2.0,detailed,expert,0.2752529549282051
2.0,detailed,noisy,0.3799700024307692
2.0,detailed,original,0.2547617362820513
2.0,detailed,step_by_step,0.26234120855128207
2.0,expert,brief,0.23850783796153843
2.0,expert,detailed,0.36033653732384613
2.0,expert,expert,0.2556566689782051
2.0,expert,noisy,0.39339941565061537
2.0,expert,original,0.2442401615647436
2.0,expert,step_by_step,0.26216508442307696
2.0,noisy,brief,0.2609333051666667
2.0,noisy,detailed,0.23907840612564102
2.0,noisy,expert,0.26624288201923074
2.0,noisy,noisy,0.2720920210598718
2.0,noisy,original,0.24147866358589745
2.0,noisy,step_by_step,0.26665291100653843
2.0,original,brief,0.3801396878276923
2.0,original,detailed,0.3658650903653846
2.0,original,expert,0.39210995455923076
2.0,original,noisy,0.41123660006692303
2.0,original,original,0.2725829557423077
2.0,original,step_by_step,0.3929416848530769
2.0,step_by_step,brief,0.3763471359276923
2.0,step_by_step,detailed,0.3746181084538462
2.0,step_by_step,expert,0.3854054590561538
2.0,step_by_step,noisy,0.4062263983592308
2.0,step_by_step,original,0.2608875643
2.0,step_by_step,step_by_step,0.29581484761410254
